delay,freq,conditions,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
0.1,1000,exp,0,0,0,space,5.8106466,None,100,1,[3.5665533002465963],[3.566568000242114],0,0,0,3,0.070313,,0.0442917,0.070313,1.0029918,1.0029918,1.086032,6.8217148,space,5.8106466,None,6.8230648,0.1142653,0.4139703,7.2547254,7.2558296,7.3016724,7.3016724,7.3016724,10.8686748,100,1,[3.5665533002465963],[3.566568000242114],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.4,1000,exp,1,1,0,space,0.4055588,None,250,1,[3.5324432998895645],[3.532453100197017],0,1,1,7,10.8835825,,10.8690973,10.8835825,11.8695504,11.8695504,11.8857018,12.2867395,space,0.4055588,None,12.2877266,0.4155671,0.7159415,13.0215561,13.0221567,13.0512504,13.0512504,13.0512504,16.584077,250,1,[3.5324432998895645],[3.532453100197017],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.1,1000,exp,2,2,0,space,1.3415219,None,500,1,[2.06669930042699],[2.06671110028401],0,2,2,9,16.5990919,,16.5843926,16.5990919,17.5852654,17.5852654,17.6016469,18.9351527,space,1.3415219,None,18.9362638,0.099613,0.3996226,19.3457973,19.3464259,19.3653966,19.3653966,19.3653966,21.4324789,500,1,[2.06669930042699],[2.06671110028401],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.1,1000,exp,3,3,0,space,0.6202544,None,300,1,[1.9680631002411246],[1.9680750002153218],0,3,3,6,21.4485184,,21.4327772,21.4485184,22.4346407,22.4346407,22.4496094,23.0666741,space,0.6202544,None,23.0675026,0.1149782,0.414608,23.4970097,23.497492,23.5136951,23.5136951,23.5136951,25.4821446,300,1,[1.9680631002411246],[1.9680750002153218],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.7,1000,exp,4,4,0,space,0.3122021,None,600,1,[4.249623300042003],[4.24964000005275],0,4,4,5,25.4977978,,25.4824325,25.4977978,26.4836426,26.4836426,26.5001274,26.8009188,space,0.3122021,None,26.8016882,0.699769,0.9993669,27.8154473,27.8160863,27.8308044,27.8308044,27.8308044,32.0808322,600,1,[4.249623300042003],[4.24964000005275],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.7,1000,exp,5,5,0,space,0.3150349,None,700,1,[3.498108900152147],[3.4981219000183046],0,5,5,11,32.0970254,,32.081225,32.0970254,33.0824361,33.0824361,33.0991212,33.4004016,space,0.3150349,None,33.4014479,0.7153159,1.0151665,34.4324886,34.4330814,34.465032,34.465032,34.465032,37.9635905,700,1,[3.498108900152147],[3.4981219000183046],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.7,400,unexp,6,6,0,space,1.4119136,None,800,1,[3.249724700115621],[3.249737999867648],0,6,6,2,37.9794475,,37.9639417,37.9794475,38.9652202,38.9652202,38.9796488,40.379845,space,1.4119136,None,40.3807313,0.6994398,1.000075,41.3941087,41.394946,41.411591,41.411591,41.411591,44.6617168,800,1,[3.249724700115621],[3.249737999867648],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.7,1000,exp,7,7,0,space,0.3360473,None,300,1,[1.7008917001076043],[1.7009066003374755],0,7,7,8,44.6782329,,44.6621071,44.6782329,45.6627045,45.6627045,45.6791083,46.0116053,space,0.3360473,None,46.0124792,0.6996634,1.0020425,47.0260506,47.0269058,47.0440879,47.0440879,47.0440879,48.7454202,300,1,[1.7008917001076043],[1.7009066003374755],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.4,1000,exp,8,8,0,space,0.8796038,None,400,1,[3.650285500101745],[3.6502954000607133],0,8,8,10,48.7604889,,48.7457922,48.7604889,49.7459095,49.7459095,49.7620417,50.6301793,space,0.8796038,None,50.6310813,0.3995246,0.7145933,51.3478654,51.3484143,51.3761543,51.3761543,51.3761543,55.0267877,400,1,[3.650285500101745],[3.6502954000607133],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
0.1,400,unexp,9,9,0,space,7.1887136,None,500,1,[3.2320213997736573],[3.232034500222653],0,9,9,0,55.0432949,,55.0270848,55.0432949,56.0277627,56.0277627,56.0434481,63.2280478,space,7.1887136,None,63.2288241,0.1000054,0.3999725,63.6437388,63.644513,63.6760797,63.6760797,63.6760797,66.9085176,500,1,[3.2320213997736573],[3.232034500222653],P_01,1,2025-11-02_17h57.55.349,INTENTIONAL BINDING EXPERIMENT,,2025.1.1,59.93712596,2025-11-02 17h58.10.314492 +0530
