reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
390,1014,152,0,0,0,t,1.207295,None,0,0,0,17,0.4482704,,0.4412764,0.4482704,1.0332635,1.0332635,1.4509221,2.2701594,t,1.207295,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
330,786,94,1,1,0,l,0.7494698,None,0,1,1,37,2.2993968,,2.2788307,2.2993968,3.2830788,3.2830788,3.2991357,4.0342071,l,0.7494698,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
165,294,25,2,2,0,t,0.8978799,None,0,2,2,77,4.0498723,,4.0393623,4.0498723,5.033454,5.033454,5.0505141,5.9335622,t,0.8978799,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
365,916,124,3,3,0,l,0.679616,None,0,3,3,29,5.9489328,,5.9381433,5.9489328,6.9319281,6.9319281,6.9488714,7.6171121,l,0.679616,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
55,76,10,4,4,0,l,1.5611959,None,0,4,4,8,7.6313437,,7.6213236,7.6313437,8.6161594,8.6161594,8.6331801,10.1838003,l,1.5611959,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
310,716,80,5,5,0,t,0.305439,None,0,5,5,68,10.1986395,,10.1880355,10.1986395,11.1995109,11.1995109,11.1995109,11.5167082,t,0.305439,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
385,994,146,6,6,0,l,0.2803188,None,0,6,6,16,11.5314412,,11.5222674,11.5314412,12.5325008,12.5325008,12.5325008,12.816768,l,0.2803188,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
190,356,31,7,7,0,t,0.1713973,None,0,7,7,82,12.8312195,,12.8209541,12.8312195,13.8307634,13.8307634,13.8307634,14.0135388,t,0.1713973,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
495,1476,351,8,8,0,l,0.12218,None,0,8,8,74,14.0303026,,14.0176111,14.0303026,15.012859,15.012859,15.0300025,15.1465965,l,0.12218,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
80,118,13,9,9,0,t,0.3325732,None,0,9,9,25,15.1633362,,15.1502518,15.1633362,16.1460406,16.1460406,16.16297,16.4799323,t,0.3325732,None,P_01,1,2025-10-28_18h08.58.417,delay_discounting_experiment,,2025.1.1,60.71177274,2025-10-28 18h09.16.614184 +0530
