reward_today,future_reward,delay,key_resp.keys
280,616,63,t
450,1268,245,l
250,523,50,t
100,155,15,l
430,1181,209,t
330,786,94,l
370,935,129,l
465,1336,276,t
425,1159,200,l
85,127,13,t
365,916,124,l
340,822,102,t
125,205,18,l
11,30,7,t
480,1405,311,t
27,50,21,t
395,1034,158,l
410,1096,178,t
35,46,9,t
40,53,9,t
215,422,37,l
130,215,19,l
78,80,162,t
435,1202,217,l
5,6,7,t
55,76,10,l
375,955,134,t
325,768,90,l
180,331,28,t
70,101,12,l
135,226,20,t
345,841,106,t
300,682,74,t
315,733,83,l
185,343,29,t
245,508,48,l
140,237,21,t
460,1313,265,l
45,61,10,t
105,164,16,l
15,35,13,t
495,1476,351,l
385,994,146,t
360,897,119,t
155,271,23,t
265,569,56,l
95,145,14,t
25,32,8,t
440,1224,226,l
415,1117,185,l
305,699,77,t
165,294,25,t
350,859,110,l
150,259,22,t
49,60,89,t
285,632,66,t
485,1429,324,t
195,369,32,l
30,39,9,t
40,55,62,l
205,395,35,t
220,436,39,t
260,553,54,t
390,1014,152,l
110,174,16,t
15,19,8,l
10,12,7,t
65,92,11,l
405,1075,171,t
335,804,98,l
145,248,21,t
310,716,80,l
400,1055,164,t
75,109,12,l
290,649,68,l
67,75,119,t
80,118,13,l
470,1359,287,t
190,356,31,l
500,1500,365,t
120,194,18,l
455,1291,255,t
240,493,46,l
170,306,26,t
275,600,60,l
255,538,52,t
320,751,87,l
175,318,27,t
50,68,10,l
210,409,36,t
380,974,140,l
20,25,8,t
160,282,24,l
295,665,71,t
90,136,14,t
235,479,44,l
490,1452,337,l
445,1246,235,l
475,1382,299,l
60,84,11,l
