thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0,0,0,[np.float64(0.045)],[np.float64(0.185)],[1],[0],[0],[1.4239946000743657],['target'],0,0,0,0,0.048314600018784404,,5,0.025956900091841817,0.048314600018784404,0.048314600018784404,0.025973699986934662,1.4500020000850782,[np.float64(0.045)],[np.float64(0.185)],[1],[0],[0],[1.4239946000743657],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
1,0,1,[np.float64(-0.28125)],[np.float64(0.29125)],[1],[0],[0],[1.0504600999411196],['target'],1,0,1,0,1.4815674000419676,,10,1.4659887000452727,1.4815674000419676,1.4815674000419676,0.01588590000756085,2.516499300021678,[np.float64(-0.28125)],[np.float64(0.29125)],[1],[0],[0],[1.0504600999411196],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
2,0,2,[np.float64(0.16625)],[np.float64(0.08375)],[1],[0],[0],[1.2512853000080213],['target'],2,0,2,0,2.5481644000392407,,10,2.5316725000739098,2.5481644000392407,2.5481644000392407,0.01506040000822395,3.7830085000023246,[np.float64(0.16625)],[np.float64(0.08375)],[1],[0],[0],[1.2512853000080213],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
3,0,3,[np.float64(0.245)],[np.float64(0.09625)],[1],[0],[0],[1.3512990000890568],['target'],3,0,3,0,3.8147017000010237,,10,3.797941300086677,3.8147017000010237,3.8147017000010237,0.014815800008364022,5.149290700093843,[np.float64(0.245)],[np.float64(0.09625)],[1],[0],[0],[1.3512990000890568],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
4,0,4,[np.float64(-0.0275)],[np.float64(-0.3675)],[1],[0],[0],[1.4414567000931129],['target'],4,0,4,0,5.164810699992813,,5,5.157437300076708,5.164810699992813,5.164810699992813,0.00803330005146563,6.5989400000544265,[np.float64(-0.0275)],[np.float64(-0.3675)],[1],[0],[0],[1.4414567000931129],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
5,0,5,[np.float64(0.24875)],[np.float64(0.01375)],[1],[0],[0],[1.2353770999470726],['target'],5,0,5,0,6.631065200082958,,10,6.614102200022899,6.631065200082958,6.631065200082958,0.015070399967953563,7.849530800012872,[np.float64(0.24875)],[np.float64(0.01375)],[1],[0],[0],[1.2353770999470726],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
6,0,6,[np.float64(0.035)],[np.float64(0.1975)],[1],[0],[0],[1.5239043000619859],['target'],6,0,6,0,7.864613200072199,,5,7.857509099994786,7.864613200072199,7.864613200072199,0.007866299943998456,9.38146649999544,[np.float64(0.035)],[np.float64(0.1975)],[1],[0],[0],[1.5239043000619859],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
7,0,7,[np.float64(-0.09375)],[np.float64(0.075)],[1],[0],[0],[1.6248622999992222],['target'],7,0,7,0,9.397001800010912,,5,9.389733800082467,9.397001800010912,9.397001800010912,0.008173900074325502,11.01464410009794,[np.float64(-0.09375)],[np.float64(0.075)],[1],[0],[0],[1.6248622999992222],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
8,0,8,[np.float64(0.12)],[np.float64(0.39)],[1],[0],[0],[1.8250501999864355],['target'],8,0,8,0,11.03008920000866,,5,11.02313210000284,11.03008920000866,11.03008920000866,0.008395000011660159,12.848252000054345,[np.float64(0.12)],[np.float64(0.39)],[1],[0],[0],[1.8250501999864355],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
9,0,9,[np.float64(-0.01625)],[np.float64(0.3575)],[1],[0],[0],[1.0410742999520153],['target'],9,0,9,0,12.863003800041042,,5,12.856784900068305,12.863003800041042,12.863003800041042,0.008416500058956444,13.89791540009901,[np.float64(-0.01625)],[np.float64(0.3575)],[1],[0],[0],[1.0410742999520153],['target'],P_04,001,2025-09-28_19h37.19.164,Visual search experiment,,2025.1.1,59.91672771157014,2025-09-28 19h37.27.812595 +0530,
