reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
10,12,7,0,0,0,t,0.759538299869746,None,0,0,0,84,0.16950109996832907,,0.15842330013401806,0.16950109996832907,1.0050842999480665,1.0050842999480665,1.1697524001356214,1.7715781000442803,t,0.759538299869746,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
255,538,52,1,1,0,l,0.40084199979901314,None,0,1,1,64,1.7874066999647766,,1.7787665000651032,1.7874066999647766,2.7865019999444485,2.7865019999444485,2.7865019999444485,3.1891263001598418,l,0.40084199979901314,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
285,632,66,2,2,0,t,0.8001667999196798,None,0,2,2,60,3.2193426999729127,,3.1968751000240445,3.2193426999729127,4.186378800077364,4.186378800077364,4.220633300021291,5.005219400161877,t,0.8001667999196798,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
275,600,60,3,3,0,t,1.0446897000074387,None,0,3,3,62,5.0192460000980645,,5.0096798001322895,5.0192460000980645,6.0204586000181735,6.0204586000181735,6.0204586000181735,7.068422600161284,t,1.0446897000074387,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
375,955,134,4,4,0,l,0.061740299919620156,None,0,4,4,91,7.08498220006004,,7.077119200024754,7.08498220006004,8.067701200023293,8.067701200023293,8.084358799969777,8.134675699984655,l,0.061740299919620156,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
335,804,98,5,5,0,l,1.0486244999337941,None,0,5,5,36,8.151723599992692,,8.138502800138667,8.151723599992692,9.134771900018677,9.134771900018677,9.150594000006095,10.184388200053945,l,1.0486244999337941,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
305,699,77,6,6,0,t,0.10949399997480214,None,0,6,6,95,10.20119439996779,,10.189435200067237,10.20119439996779,11.183868899941444,11.183868899941444,11.200327300000936,11.301197499968112,t,0.10949399997480214,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
25,32,8,7,7,0,l,0.006300600012764335,None,0,7,7,15,11.317111799959093,,11.304934100015089,11.317111799959093,12.301608900073916,12.301608900073916,12.317562700016424,12.318082900019363,l,0.006300600012764335,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
140,237,21,8,8,0,t,0.03698280011303723,None,0,8,8,44,12.333530599949881,,12.322008199989796,12.333530599949881,13.31904730014503,13.31904730014503,13.33579759998247,13.368999100057408,t,0.03698280011303723,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
35,46,9,9,9,0,l,0.0011099998373538256,None,0,9,9,56,13.385565600125119,,13.374460800085217,13.385565600125119,14.36942799994722,14.36942799994722,14.38680150010623,14.38750940002501,l,0.0011099998373538256,None,P_04,001,2025-10-28_18h18.42.411,delay_discounting_experiment,,2025.1.1,59.87256720555515,2025-10-28 18h18.52.202711 +0530,
