word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text_2.started,instructions.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,text.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thanks.started,text_3.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,,,,trials.key_resp.rt,stim_condition
,,,,,,,,,,,,,,,,,0.0038583,0.0219995,1.0078971,,,,,,,,,,,,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,,
RED,red,C,r,0,0,0,r,1,5.4877694,None,0,0,0,0,1.0214616,,,,,1.0180013,1.0214616,1.5055157,1.5055157,1.5055157,6.005864,7.0110781,r,1,5.4877694,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,5.4877694,C
BLUE,blue,C,b,1,1,0,b,1,1.027959,None,0,1,1,3,7.0207863,,,,,7.0144252,7.0207863,7.5213593,7.5213593,7.5213593,,8.5564505,b,1,1.027959,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,1.027959,C
RED,blue,I,b,2,2,0,b,1,1.5766213,None,0,2,2,1,8.5713763,,,,,8.5579613,8.5713763,9.0719758,9.0719758,9.0719758,,10.6558585,b,1,1.5766213,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,1.5766213,I
BLUE,red,I,r,3,3,0,r,1,0.8059103,None,0,3,3,2,10.6707205,,,,,10.6573791,10.6707205,11.1708823,11.1708823,11.1708823,,11.9890974,r,1,0.8059103,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,0.8059103,I
BLUE,red,I,r,4,0,1,r,1,0.756844101,None,1,0,4,2,12.0040163,,,,,11.9893794,12.0040163,12.5036394,12.5036394,12.5036394,,13.272407,r,1,0.756844101,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,0.756844101,I
BLUE,blue,C,b,5,1,1,b,1,0.633586,None,1,1,5,3,13.2868655,,,,,13.2726895,13.2868655,13.7709418,13.7709418,13.7709418,,14.4054763,b,1,0.633586,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,0.633586,C
RED,blue,I,b,6,2,1,r,0,1.4302739,None,1,2,6,1,14.4199509,,,,,14.4068374,14.4199509,14.9196534,14.9196534,14.9196534,,16.3552539,r,0,1.4302739,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,1.4302739,I
RED,red,C,r,7,3,1,r,1,1.1804636,None,1,3,7,0,16.3696904,,,,,16.3555355,16.3696904,16.8710314,16.8710314,16.8710314,,18.0562394,r,1,1.1804636,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,1.1804636,C
BLUE,red,I,r,8,0,2,r,1,1.0690441,None,2,0,8,2,18.0696974,,,,,18.0576554,18.0696974,18.5695031,18.5695031,18.5695031,,19.6549636,r,1,1.0690441,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,1.0690441,I
RED,blue,I,b,9,1,2,b,1,0.8366605,None,2,1,9,1,19.6688874,,,,,19.656331,19.6688874,20.170213,20.170213,20.170213,,21.0217832,b,1,0.8366605,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,0.8366605,I
BLUE,blue,C,b,10,2,2,b,1,0.7832735,None,2,2,10,3,21.0368712,,,,,21.0232159,21.0368712,21.5368752,21.5368752,21.5368752,,22.3209051,b,1,0.7832735,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,0.7832735,C
RED,red,C,r,11,3,2,r,1,0.6779402,None,2,3,11,0,22.3351358,,,,,22.3223166,22.3351358,22.8362708,22.8362708,22.8362708,,23.5202774,r,1,0.6779402,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,0.6779402,C
BLUE,blue,C,b,12,0,3,b,1,0.6547959,None,3,0,12,3,23.5351104,,,,,23.5216573,23.5351104,24.0189359,24.0189359,24.0189359,,24.6876285,b,1,0.6547959,None,,,,pilot,1,2025-08-22_11h25.05.006,stroop task,,2025.1.1,60.17737888,2025-08-22 11h25.21.385851 +0530,,,,0.6547959,C
